,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ALG,172,215,270,372,417,499,546,669,704,805,891,1011,1176,1326
ANG,48,59,101,151,183,265,315,379,426,473,487,526,583,618
BOT,0,91,112,149,192,255,371,502,556,575,622,667,717,760
BUR,0,0,0,12,11,15,15,15,15,15,15,15,18,17
BDI,2,2,3,4,6,7,11,12,12,12,16,18,23,30
CMR,3,3,8,10,11,12,16,16,16,22,29,30,32,33
CPV,0,0,0,0,6,9,22,40,44,70,86,98,100,112
CAF,0,0,0,0,0,0,4,4,4,4,5,6,16,16
CHA,0,0,0,0,0,0,0,0,0,0,3,3,5,5
COM,0,0,0,0,0,0,0,0,0,0,1,4,6,9
CIV,1,0,4,13,18,30,33,39,39,40,46,69,81,84
COD,0,0,0,0,0,0,0,7,7,7,8,8,10,11
DJI,0,0,0,0,2,4,8,11,11,11,16,20,22,24
EGY,651,711,988,1236,1563,1821,2024,2307,2386,2560,2744,3061,3482,3797
GEQ,0,0,0,0,0,0,0,0,0,0,7,7,12,13
ERI,0,0,0,0,2,3,6,6,6,6,16,16,18,19
SWZ,0,0,1,15,20,28,37,57,62,68,72,76,87,98
ETH,17,17,21,34,40,54,77,95,110,116,138,139,151,159
GAB,0,2,2,2,2,2,3,3,3,4,6,7,11,15
GAM,1,5,6,6,8,8,9,11,11,11,11,11,25,25
GHA,6,6,12,28,37,47,66,84,94,110,116,128,139,150
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,28,34,58,169,245,301,437,529,530,635,775,951,1175,1474
LES,0,5,8,33,40,76,98,121,122,133,135,154,163,190
LBR,0,0,0,0,5,9,13,19,20,25,52,57,58,65
LBA,78,102,176,208,298,397,480,550,554,627,657,678,717,799
MAD,0,19,104,136,177,211,248,305,309,384,431,501,612,695
MAW,0,9,27,83,100,150,176,211,237,270,286,300,313,352
MLI,4,4,4,6,6,7,10,14,14,14,15,16,17,23
MTN,16,29,33,42,60,63,70,73,75,77,90,107,128,150
MRI,0,14,15,15,20,26,27,29,29,30,35,36,44,59
MAR,0,77,85,156,285,341,344,349,348,354,418,505,573,725
MOZ,15,15,20,20,25,36,58,66,67,67,103,119,133,155
NAM,0,13,19,27,30,32,61,95,95,102,120,151,190,226
NIG,0,0,0,0,0,0,0,0,0,0,0,1,1,1
NGR,56,60,100,170,221,270,307,356,348,390,525,624,743,900
RWA,0,6,8,20,22,31,36,43,46,46,50,51,51,51
STP,0,6,9,11,12,12,15,17,24,27,30,30,35,35
SEN,0,2,5,5,5,5,10,13,14,19,27,32,35,39
SEY,0,12,12,13,13,16,18,18,18,18,19,19,19,19
SLE,0,4,4,4,4,4,6,6,7,7,6,12,18,21
SOM,4,4,5,6,9,10,15,17,17,19,24,24,35,35
RSA,246,285,409,564,709,868,1050,1260,1272,1341,1573,1890,2424,3076
SSD,0,0,0,0,5,7,15,20,20,25,66,80,127,134
SUD,0,36,44,77,85,120,140,216,283,375,378,412,416,418
TAN,0,0,6,17,22,29,36,46,50,50,60,62,70,72
TOG,0,2,8,18,20,20,20,25,27,30,37,42,46,53
TUN,109,124,172,268,313,395,470,526,558,643,716,739,866,988
UGA,31,35,45,55,74,152,220,292,302,341,422,613,728,875
ZAM,0,40,74,137,242,421,588,714,773,854,919,998,1109,1199
ZIM,0,46,69,113,123,160,251,314,315,344,410,511,601,741
